id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,6G_DRONE_0,Image_Acquisition,Image_Acquirement,0,30,0,3,Camera,0.0,10,10.0,10.0,10.0
2,COMP_M,6G_DRONE_0,IMU_Measurement_Acquisition,Inertial_Data_Acquirement,1,31,1,3,IMU,0.0,10,10.0,10.0,10.0
3,COMP_M,6G_DRONE_1,Image_Acquisition,Image_Acquirement,6,35,4,7,Camera,0.0,10,10.0,10.0,10.0
4,COMP_M,6G_DRONE_1,IMU_Measurement_Acquisition,Inertial_Data_Acquirement,7,36,5,7,IMU,0.0,10,10.0,10.0,10.0
5,COMP_M,6G_DRONE_2,Image_Acquisition,Image_Acquirement,12,40,8,11,Camera,0.0,10,10.0,10.0,10.0
6,COMP_M,6G_DRONE_2,IMU_Measurement_Acquisition,Inertial_Data_Acquirement,13,41,9,11,IMU,0.0,10,10.0,10.0,10.0
7,COMP_M,6G_DRONE_3,Image_Acquisition,Image_Acquirement,18,45,12,15,Camera,0.0,10,10.0,10.0,10.0
8,COMP_M,6G_DRONE_3,IMU_Measurement_Acquisition,Inertial_Data_Acquirement,19,46,13,15,IMU,0.0,10,10.0,10.0,10.0
9,COMP_M,6G_DRONE_4,Image_Acquisition,Image_Acquirement,24,50,16,19,Camera,0.0,10,10.0,10.0,10.0
10,COMP_M,6G_DRONE_4,IMU_Measurement_Acquisition,Inertial_Data_Acquirement,25,51,17,19,IMU,0.0,10,10.0,10.0,10.0
1,COMP_M,6G_DRONE_0,Feature_Extraction,Image,30,32,3,1966,Image_Acquisition,26.632,833.180996992,859.812996992,10.0,833.180996992
3,COMP_M,6G_DRONE_1,Feature_Extraction,Image,35,37,7,1966,Image_Acquisition,26.632,833.222153984,859.8541539839999,10.0,833.222153984
5,COMP_M,6G_DRONE_2,Feature_Extraction,Image,40,42,11,1966,Image_Acquisition,26.632,833.263310976,859.8953109759999,10.0,833.263310976
7,COMP_M,6G_DRONE_3,Feature_Extraction,Image,45,47,15,1966,Image_Acquisition,26.632,833.3044679679999,859.9364679679999,10.0,833.3044679679999
9,COMP_M,6G_DRONE_4,Feature_Extraction,Image,50,52,19,1966,Image_Acquisition,26.632,833.3456249599999,859.9776249599998,10.0,833.3456249599999
2,COMP_M,6G_DRONE_0,MSCKF_Update,Inertial_Data,31,33,3,1966,IMU_Measurement_Acquisition,0.0,833.3456252399999,833.3456252399999,10.0,833.3456252399999
4,COMP_M,6G_DRONE_1,MSCKF_Update,Inertial_Data,36,38,7,1966,IMU_Measurement_Acquisition,0.0,833.3456255199999,833.3456255199999,10.0,833.3456255199999
6,COMP_M,6G_DRONE_2,MSCKF_Update,Inertial_Data,41,43,11,1966,IMU_Measurement_Acquisition,0.0,833.3456257999999,833.3456257999999,10.0,833.3456257999999
8,COMP_M,6G_DRONE_3,MSCKF_Update,Inertial_Data,46,48,15,1966,IMU_Measurement_Acquisition,0.0,833.3456260799999,833.3456260799999,10.0,833.3456260799999
10,COMP_M,6G_DRONE_4,MSCKF_Update,Inertial_Data,51,53,19,1966,IMU_Measurement_Acquisition,0.0,833.3456263599999,833.3456263599999,10.0,833.3456263599999
1,COMP_M,6G_DRONE_0,MSCKF_Update,Extracted Features,32,33,1966,1966,Feature_Extraction,2.955,859.812996992,862.767996992,859.812996992,859.812996992
3,COMP_M,6G_DRONE_1,MSCKF_Update,Extracted Features,37,38,1966,1966,Feature_Extraction,2.955,859.8541539839999,862.809153984,859.8541539839999,859.8541539839999
5,COMP_M,6G_DRONE_2,MSCKF_Update,Extracted Features,42,43,1966,1966,Feature_Extraction,2.955,859.8953109759999,862.850310976,859.8953109759999,859.8953109759999
7,COMP_M,6G_DRONE_3,MSCKF_Update,Extracted Features,47,48,1966,1966,Feature_Extraction,2.955,859.9364679679999,862.8914679679999,859.9364679679999,859.9364679679999
9,COMP_M,6G_DRONE_4,MSCKF_Update,Extracted Features,52,53,1966,1966,Feature_Extraction,2.955,859.9776249599998,862.9326249599999,859.9776249599998,859.9776249599998
1,COMP_M,6G_DRONE_0,Prediction,Corrected_Pose,33,34,1966,3,MSCKF_Update,0.0,862.769117048,862.769117048,862.767996992,862.769117048
1,SINK_M,6G_DRONE_0,Pose_Correction,Pose_Prediction,34,2,3,2,Prediction,0,862.769117048,862.769117048,862.769117048,862.769117048
3,COMP_M,6G_DRONE_1,Prediction,Corrected_Pose,38,39,1966,7,MSCKF_Update,0.0,862.81027404,862.81027404,862.809153984,862.81027404
3,SINK_M,6G_DRONE_1,Pose_Correction,Pose_Prediction,39,8,7,6,Prediction,0,862.81027404,862.81027404,862.81027404,862.81027404
5,COMP_M,6G_DRONE_2,Prediction,Corrected_Pose,43,44,1966,11,MSCKF_Update,0.0,862.8514310319999,862.8514310319999,862.850310976,862.8514310319999
5,SINK_M,6G_DRONE_2,Pose_Correction,Pose_Prediction,44,14,11,10,Prediction,0,862.8514310319999,862.8514310319999,862.8514310319999,862.8514310319999
7,COMP_M,6G_DRONE_3,Prediction,Corrected_Pose,48,49,1966,15,MSCKF_Update,0.0,862.8925880239999,862.8925880239999,862.8914679679999,862.8925880239999
