id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,0,3,6G_DRONE_0,0.0,Image_Acquirement,10,0,0
2,LINK,1,3,6G_DRONE_0,0.0,Inertial_Data_Acquirement,10,0,1
3,LINK,4,7,6G_DRONE_1,0.0,Image_Acquirement,10,0,1
4,LINK,5,7,6G_DRONE_1,0.0,Inertial_Data_Acquirement,10,0,1
5,LINK,8,11,6G_DRONE_2,0.0,Image_Acquirement,10,0,1
6,LINK,9,11,6G_DRONE_2,0.0,Inertial_Data_Acquirement,10,0,1
7,LINK,12,15,6G_DRONE_3,0.0,Image_Acquirement,10,0,1
8,LINK,13,15,6G_DRONE_3,0.0,Inertial_Data_Acquirement,10,0,1
9,LINK,16,19,6G_DRONE_4,0.0,Image_Acquirement,10,0,1
10,LINK,17,19,6G_DRONE_4,0.0,Inertial_Data_Acquirement,10,0,1
11,LINK,20,23,6G_DRONE_5,0.0,Image_Acquirement,10,0,1
12,LINK,21,23,6G_DRONE_5,0.0,Inertial_Data_Acquirement,10,0,1
13,LINK,24,27,6G_DRONE_6,0.0,Image_Acquirement,10,0,1
14,LINK,25,27,6G_DRONE_6,0.0,Inertial_Data_Acquirement,10,0,1
15,LINK,28,31,6G_DRONE_7,0.0,Image_Acquirement,10,0,1
16,LINK,29,31,6G_DRONE_7,0.0,Inertial_Data_Acquirement,10,0,1
17,LINK,32,35,6G_DRONE_8,0.0,Image_Acquirement,10,0,1
18,LINK,33,35,6G_DRONE_8,0.0,Inertial_Data_Acquirement,10,0,1
19,LINK,36,39,6G_DRONE_9,0.0,Image_Acquirement,10,0,1
20,LINK,37,39,6G_DRONE_9,0.0,Inertial_Data_Acquirement,10,0,1
21,LINK,40,43,6G_DRONE_10,0.0,Image_Acquirement,10,0,1
22,LINK,41,43,6G_DRONE_10,0.0,Inertial_Data_Acquirement,10,0,1
23,LINK,44,47,6G_DRONE_11,0.0,Image_Acquirement,10,0,1
24,LINK,45,47,6G_DRONE_11,0.0,Inertial_Data_Acquirement,10,0,1
25,LINK,48,51,6G_DRONE_12,0.0,Image_Acquirement,10,0,1
26,LINK,49,51,6G_DRONE_12,0.0,Inertial_Data_Acquirement,10,0,1
27,LINK,52,55,6G_DRONE_13,0.0,Image_Acquirement,10,0,1
28,LINK,53,55,6G_DRONE_13,0.0,Inertial_Data_Acquirement,10,0,1
29,LINK,56,59,6G_DRONE_14,0.0,Image_Acquirement,10,0,1
30,LINK,57,59,6G_DRONE_14,0.0,Inertial_Data_Acquirement,10,0,1
31,LINK,60,63,6G_DRONE_15,0.0,Image_Acquirement,10,0,1
32,LINK,61,63,6G_DRONE_15,0.0,Inertial_Data_Acquirement,10,0,1
33,LINK,64,67,6G_DRONE_16,0.0,Image_Acquirement,10,0,1
34,LINK,65,67,6G_DRONE_16,0.0,Inertial_Data_Acquirement,10,0,1
35,LINK,68,71,6G_DRONE_17,0.0,Image_Acquirement,10,0,1
36,LINK,69,71,6G_DRONE_17,0.0,Inertial_Data_Acquirement,10,0,1
37,LINK,72,75,6G_DRONE_18,0.0,Image_Acquirement,10,0,1
38,LINK,73,75,6G_DRONE_18,0.0,Inertial_Data_Acquirement,10,0,1
39,LINK,76,79,6G_DRONE_19,0.0,Image_Acquirement,10,0,1
40,LINK,77,79,6G_DRONE_19,0.0,Inertial_Data_Acquirement,10,0,1
41,LINK,80,83,6G_DRONE_20,0.0,Image_Acquirement,10,0,1
42,LINK,81,83,6G_DRONE_20,0.0,Inertial_Data_Acquirement,10,0,1
43,LINK,84,87,6G_DRONE_21,0.0,Image_Acquirement,10,0,1
44,LINK,85,87,6G_DRONE_21,0.0,Inertial_Data_Acquirement,10,0,1
45,LINK,88,91,6G_DRONE_22,0.0,Image_Acquirement,10,0,1
46,LINK,89,91,6G_DRONE_22,0.0,Inertial_Data_Acquirement,10,0,1
47,LINK,92,95,6G_DRONE_23,0.0,Image_Acquirement,10,0,1
48,LINK,93,95,6G_DRONE_23,0.0,Inertial_Data_Acquirement,10,0,1
49,LINK,96,99,6G_DRONE_24,0.0,Image_Acquirement,10,0,1
50,LINK,97,99,6G_DRONE_24,0.0,Inertial_Data_Acquirement,10,0,1
51,LINK,100,103,6G_DRONE_25,0.0,Image_Acquirement,10,0,1
52,LINK,101,103,6G_DRONE_25,0.0,Inertial_Data_Acquirement,10,0,1
53,LINK,104,107,6G_DRONE_26,0.0,Image_Acquirement,10,0,1
54,LINK,105,107,6G_DRONE_26,0.0,Inertial_Data_Acquirement,10,0,1
55,LINK,108,111,6G_DRONE_27,0.0,Image_Acquirement,10,0,1
56,LINK,109,111,6G_DRONE_27,0.0,Inertial_Data_Acquirement,10,0,1
57,LINK,112,115,6G_DRONE_28,0.0,Image_Acquirement,10,0,1
58,LINK,113,115,6G_DRONE_28,0.0,Inertial_Data_Acquirement,10,0,1
59,LINK,116,119,6G_DRONE_29,0.0,Image_Acquirement,10,0,1
60,LINK,117,119,6G_DRONE_29,0.0,Inertial_Data_Acquirement,10,0,1
61,LINK,120,123,6G_DRONE_30,0.0,Image_Acquirement,10,0,1
62,LINK,121,123,6G_DRONE_30,0.0,Inertial_Data_Acquirement,10,0,1
63,LINK,124,127,6G_DRONE_31,0.0,Image_Acquirement,10,0,1
64,LINK,125,127,6G_DRONE_31,0.0,Inertial_Data_Acquirement,10,0,1
65,LINK,128,131,6G_DRONE_32,0.0,Image_Acquirement,10,0,1
