id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,0,3,6G_DRONE_0,0.0,Image_Acquirement,10,0,0
2,LINK,1,3,6G_DRONE_0,0.0,Inertial_Data_Acquirement,10,0,1
3,LINK,4,7,6G_DRONE_1,0.0,Image_Acquirement,10,0,1
4,LINK,5,7,6G_DRONE_1,0.0,Inertial_Data_Acquirement,10,0,1
5,LINK,8,11,6G_DRONE_2,0.0,Image_Acquirement,10,0,1
6,LINK,9,11,6G_DRONE_2,0.0,Inertial_Data_Acquirement,10,0,1
7,LINK,12,15,6G_DRONE_3,0.0,Image_Acquirement,10,0,1
8,LINK,13,15,6G_DRONE_3,0.0,Inertial_Data_Acquirement,10,0,1
9,LINK,16,19,6G_DRONE_4,0.0,Image_Acquirement,10,0,1
10,LINK,17,19,6G_DRONE_4,0.0,Inertial_Data_Acquirement,10,0,1
1,LINK,3,1907,6G_DRONE_0,823.13984,Image,10,41156992.0,0
2,LINK,3,1907,6G_DRONE_0,0.0056,Inertial_Data,10,280,1
3,LINK,7,1907,6G_DRONE_1,823.13984,Image,10,41156992.0,2
4,LINK,7,1907,6G_DRONE_1,0.0056,Inertial_Data,10,280,3
5,LINK,11,1907,6G_DRONE_2,823.13984,Image,10,41156992.0,4
6,LINK,11,1907,6G_DRONE_2,0.0056,Inertial_Data,10,280,5
7,LINK,15,1907,6G_DRONE_3,823.13984,Image,10,41156992.0,6
8,LINK,15,1907,6G_DRONE_3,0.0056,Inertial_Data,10,280,7
9,LINK,19,1907,6G_DRONE_4,823.13984,Image,10,41156992.0,8
10,LINK,19,1907,6G_DRONE_4,0.0056,Inertial_Data,10,280,9
1,LINK,1907,1966,6G_DRONE_0,0.041156992,Image,833.13984,41156992.0,5
3,LINK,1907,1966,6G_DRONE_1,0.041156992,Image,833.13984,41156992.0,6
5,LINK,1907,1966,6G_DRONE_2,0.041156992,Image,833.13984,41156992.0,7
7,LINK,1907,1966,6G_DRONE_3,0.041156992,Image,833.13984,41156992.0,8
9,LINK,1907,1966,6G_DRONE_4,0.041156992,Image,833.13984,41156992.0,9
2,LINK,1907,1966,6G_DRONE_0,2.8e-07,Inertial_Data,833.14544,280,5
4,LINK,1907,1966,6G_DRONE_1,2.8e-07,Inertial_Data,833.14544,280,6
6,LINK,1907,1966,6G_DRONE_2,2.8e-07,Inertial_Data,833.14544,280,7
8,LINK,1907,1966,6G_DRONE_3,2.8e-07,Inertial_Data,833.14544,280,8
10,LINK,1907,1966,6G_DRONE_4,2.8e-07,Inertial_Data,833.14544,280,9
1,LINK,1966,1907,6G_DRONE_0,5.6e-08,Corrected_Pose,862.767996992,56,0
1,LINK,1907,3,6G_DRONE_0,0.00112,Corrected_Pose,862.767997048,56,0
1,LINK,3,2,6G_DRONE_0,0.0,Pose_Prediction,862.769117048,0,0
3,LINK,1966,1907,6G_DRONE_1,5.6e-08,Corrected_Pose,862.809153984,56,0
3,LINK,1907,7,6G_DRONE_1,0.00112,Corrected_Pose,862.80915404,56,0
3,LINK,7,6,6G_DRONE_1,0.0,Pose_Prediction,862.81027404,0,0
5,LINK,1966,1907,6G_DRONE_2,5.6e-08,Corrected_Pose,862.850310976,56,0
5,LINK,1907,11,6G_DRONE_2,0.00112,Corrected_Pose,862.8503110319999,56,0
5,LINK,11,10,6G_DRONE_2,0.0,Pose_Prediction,862.8514310319999,0,0
7,LINK,1966,1907,6G_DRONE_3,5.6e-08,Corrected_Pose,862.8914679679999,56,0
7,LINK,1907,15,6G_DRONE_3,0.00112,Corrected_Pose,862.8914680239999,56,0
7,LINK,15,14,6G_DRONE_3,0.0,Pose_Prediction,862.8925880239999,0,0
9,LINK,1966,1907,6G_DRONE_4,5.6e-08,Corrected_Pose,862.9326249599999,56,0
9,LINK,1907,19,6G_DRONE_4,0.00112,Corrected_Pose,862.9326250159999,56,0
9,LINK,19,18,6G_DRONE_4,0.0,Pose_Prediction,862.9337450159999,0,0
11,LINK,20,23,6G_DRONE_0,0.0,Image_Acquirement,10000,0,0
12,LINK,21,23,6G_DRONE_0,0.0,Inertial_Data_Acquirement,10000,0,1
13,LINK,24,27,6G_DRONE_1,0.0,Image_Acquirement,10000,0,1
14,LINK,25,27,6G_DRONE_1,0.0,Inertial_Data_Acquirement,10000,0,1
15,LINK,28,31,6G_DRONE_2,0.0,Image_Acquirement,10000,0,1
16,LINK,29,31,6G_DRONE_2,0.0,Inertial_Data_Acquirement,10000,0,1
17,LINK,32,35,6G_DRONE_3,0.0,Image_Acquirement,10000,0,1
18,LINK,33,35,6G_DRONE_3,0.0,Inertial_Data_Acquirement,10000,0,1
19,LINK,36,39,6G_DRONE_4,0.0,Image_Acquirement,10000,0,1
20,LINK,37,39,6G_DRONE_4,0.0,Inertial_Data_Acquirement,10000,0,1
11,LINK,23,1908,6G_DRONE_0,0.0,Image_Acquirement,10000,0,1
12,LINK,23,1908,6G_DRONE_0,0.0,Inertial_Data_Acquirement,10000,0,1
13,LINK,27,1908,6G_DRONE_1,0.0,Image_Acquirement,10000,0,1
14,LINK,27,1908,6G_DRONE_1,0.0,Inertial_Data_Acquirement,10000,0,1
15,LINK,31,1908,6G_DRONE_2,0.0,Image_Acquirement,10000,0,1
16,LINK,31,1908,6G_DRONE_2,0.0,Inertial_Data_Acquirement,10000,0,1
17,LINK,35,1908,6G_DRONE_3,0.0,Image_Acquirement,10000,0,1
