id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,6G_Drone,Image_Acquisition,Image_Acquirement,0,3,0,2,Camera,0.0,10.0,10.0,10.0,10.0
2,COMP_M,6G_Drone,IMU_Measurement_Acquisition,Inertial_Data_Acquirement,1,4,1,2,IMU,0.0,10.0,10.0,10.0,10.0
1,COMP_M,6G_Drone,Feature_Extraction,Image,3,5,2,4,Image_Acquisition,26.632,833.180996992,859.812996992,10.0,833.180996992
2,COMP_M,6G_Drone,MSCKF_Update,Inertial_Data,4,6,2,4,IMU_Measurement_Acquisition,0.0,833.180997272,833.180997272,10.0,833.180997272
1,COMP_M,6G_Drone,MSCKF_Update,Extracted Features,5,6,4,4,Feature_Extraction,2.955,859.812996992,862.767996992,859.812996992,859.812996992
1,COMP_M,6G_Drone,Prediction,Corrected_Pose,6,7,4,2,MSCKF_Update,0.0,862.7681090479999,862.7681090479999,862.767996992,862.7681090479999
1,SINK_M,6G_Drone,Pose_Correction,Pose_Prediction,7,2,2,5,Prediction,0,862.7681090479999,862.7681090479999,862.7681090479999,862.7681090479999
3,COMP_M,6G_Drone,Image_Acquisition,Image_Acquirement,0,3,0,2,Camera,0.0,10010.0,10010.0,10010.0,10010.0
4,COMP_M,6G_Drone,IMU_Measurement_Acquisition,Inertial_Data_Acquirement,1,4,1,2,IMU,0.0,10010.0,10010.0,10010.0,10010.0
3,COMP_M,6G_Drone,Feature_Extraction,Image,3,5,2,4,Image_Acquisition,26.632,10833.180996992,10859.812996992,10010.0,10833.180996992
4,COMP_M,6G_Drone,MSCKF_Update,Inertial_Data,4,6,2,4,IMU_Measurement_Acquisition,0.0,10833.180997272,10833.180997272,10010.0,10833.180997272
3,COMP_M,6G_Drone,MSCKF_Update,Extracted Features,5,6,4,4,Feature_Extraction,2.955,10859.812996992,10862.767996992,10859.812996992,10859.812996992
3,COMP_M,6G_Drone,Prediction,Corrected_Pose,6,7,4,2,MSCKF_Update,0.0,10862.768109047998,10862.768109047998,10862.767996992,10862.768109047998
3,SINK_M,6G_Drone,Pose_Correction,Pose_Prediction,7,2,2,5,Prediction,0,10862.768109047998,10862.768109047998,10862.768109047998,10862.768109047998
