id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
1,COMP_M,6G_Drone_1,Image_Acquisition,Image_Acquirement,0,6,0,3,Camera,0.0,10,10.0,10.0,10.0
2,COMP_M,6G_Drone_1,IMU_Measurement_Acquisition,Inertial_Data_Acquirement,1,7,1,3,IMU,0.0,10,10.0,10.0,10.0
3,COMP_M,6G_Drone_2,Image_Acquisition,Image_Acquirement,3,11,4,7,Camera,0.0,10,10.0,10.0,10.0
4,COMP_M,6G_Drone_2,IMU_Measurement_Acquisition,Inertial_Data_Acquirement,5,12,5,7,IMU,0.0,10,10.0,10.0,10.0
1,COMP_M,6G_Drone_1,Feature_Extraction,Image,6,8,3,9,Image_Acquisition,26.632,833.180996992,859.812996992,10.0,833.180996992
3,COMP_M,6G_Drone_2,Feature_Extraction,Image,11,13,7,9,Image_Acquisition,26.632,833.222153984,859.8541539839999,10.0,833.222153984
2,COMP_M,6G_Drone_1,MSCKF_Update,Inertial_Data,7,9,3,9,IMU_Measurement_Acquisition,0.0,833.222154264,833.222154264,10.0,833.222154264
4,COMP_M,6G_Drone_2,MSCKF_Update,Inertial_Data,12,14,7,9,IMU_Measurement_Acquisition,0.0,833.222154544,833.222154544,10.0,833.222154544
1,COMP_M,6G_Drone_1,MSCKF_Update,Extracted Features,8,9,9,9,Feature_Extraction,2.955,859.812996992,862.767996992,859.812996992,859.812996992
3,COMP_M,6G_Drone_2,MSCKF_Update,Extracted Features,13,14,9,9,Feature_Extraction,2.955,859.8541539839999,862.809153984,859.8541539839999,859.8541539839999
1,COMP_M,6G_Drone_1,Prediction,Corrected_Pose,9,10,9,3,MSCKF_Update,0.0,862.7681090479999,862.7681090479999,862.767996992,862.7681090479999
1,SINK_M,6G_Drone_1,Pose_Correction,Pose_Prediction,10,2,3,2,Prediction,0,862.7681090479999,862.7681090479999,862.7681090479999,862.7681090479999
3,COMP_M,6G_Drone_2,Prediction,Corrected_Pose,14,15,9,7,MSCKF_Update,0.0,862.8092660399999,862.8092660399999,862.809153984,862.8092660399999
3,SINK_M,6G_Drone_2,Pose_Correction,Pose_Prediction,15,4,7,6,Prediction,0,862.8092660399999,862.8092660399999,862.8092660399999,862.8092660399999
5,COMP_M,6G_Drone_1,Image_Acquisition,Image_Acquirement,0,6,0,3,Camera,0.0,10010,10010.0,10010.0,10010.0
6,COMP_M,6G_Drone_1,IMU_Measurement_Acquisition,Inertial_Data_Acquirement,1,7,1,3,IMU,0.0,10010,10010.0,10010.0,10010.0
7,COMP_M,6G_Drone_2,Image_Acquisition,Image_Acquirement,3,11,4,7,Camera,0.0,10010,10010.0,10010.0,10010.0
8,COMP_M,6G_Drone_2,IMU_Measurement_Acquisition,Inertial_Data_Acquirement,5,12,5,7,IMU,0.0,10010,10010.0,10010.0,10010.0
5,COMP_M,6G_Drone_1,Feature_Extraction,Image,6,8,3,9,Image_Acquisition,26.632,10833.180996992,10859.812996992,10010.0,10833.180996992
7,COMP_M,6G_Drone_2,Feature_Extraction,Image,11,13,7,9,Image_Acquisition,26.632,10833.222153984,10859.854153983999,10010.0,10833.222153984
6,COMP_M,6G_Drone_1,MSCKF_Update,Inertial_Data,7,9,3,9,IMU_Measurement_Acquisition,0.0,10833.222154264,10833.222154264,10010.0,10833.222154264
8,COMP_M,6G_Drone_2,MSCKF_Update,Inertial_Data,12,14,7,9,IMU_Measurement_Acquisition,0.0,10833.222154544,10833.222154544,10010.0,10833.222154544
5,COMP_M,6G_Drone_1,MSCKF_Update,Extracted Features,8,9,9,9,Feature_Extraction,2.955,10859.812996992,10862.767996992,10859.812996992,10859.812996992
7,COMP_M,6G_Drone_2,MSCKF_Update,Extracted Features,13,14,9,9,Feature_Extraction,2.955,10859.854153983999,10862.809153983999,10859.854153983999,10859.854153983999
5,COMP_M,6G_Drone_1,Prediction,Corrected_Pose,9,10,9,3,MSCKF_Update,0.0,10862.768109047998,10862.768109047998,10862.767996992,10862.768109047998
5,SINK_M,6G_Drone_1,Pose_Correction,Pose_Prediction,10,2,3,2,Prediction,0,10862.768109047998,10862.768109047998,10862.768109047998,10862.768109047998
7,COMP_M,6G_Drone_2,Prediction,Corrected_Pose,14,15,9,7,MSCKF_Update,0.0,10862.809266039998,10862.809266039998,10862.809153983999,10862.809266039998
7,SINK_M,6G_Drone_2,Pose_Correction,Pose_Prediction,15,4,7,6,Prediction,0,10862.809266039998,10862.809266039998,10862.809266039998,10862.809266039998
