id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,0,3,6G_Drone_1,0.0,Image_Acquirement,10,0,0
2,LINK,1,3,6G_Drone_1,0.0,Inertial_Data_Acquirement,10,0,1
3,LINK,4,7,6G_Drone_2,0.0,Image_Acquirement,10,0,1
4,LINK,5,7,6G_Drone_2,0.0,Inertial_Data_Acquirement,10,0,1
1,LINK,3,8,6G_Drone_1,823.13984,Image,10,41156992.0,0
2,LINK,3,8,6G_Drone_1,0.0056,Inertial_Data,10,280,1
3,LINK,7,8,6G_Drone_2,823.13984,Image,10,41156992.0,2
4,LINK,7,8,6G_Drone_2,0.0056,Inertial_Data,10,280,3
1,LINK,8,9,6G_Drone_1,0.041156992,Image,833.13984,41156992.0,2
3,LINK,8,9,6G_Drone_2,0.041156992,Image,833.13984,41156992.0,3
2,LINK,8,9,6G_Drone_1,2.8e-07,Inertial_Data,833.14544,280,2
4,LINK,8,9,6G_Drone_2,2.8e-07,Inertial_Data,833.14544,280,3
1,LINK,9,8,6G_Drone_1,5.6e-08,Corrected_Pose,862.767996992,56,0
1,LINK,8,3,6G_Drone_1,0.000112,Corrected_Pose,862.767997048,56,0
1,LINK,3,2,6G_Drone_1,0.0,Pose_Prediction,862.7681090479999,0,0
3,LINK,9,8,6G_Drone_2,5.6e-08,Corrected_Pose,862.809153984,56,0
3,LINK,8,7,6G_Drone_2,0.000112,Corrected_Pose,862.80915404,56,0
3,LINK,7,6,6G_Drone_2,0.0,Pose_Prediction,862.8092660399999,0,0
5,LINK,0,3,6G_Drone_1,0.0,Image_Acquirement,10010,0,0
6,LINK,1,3,6G_Drone_1,0.0,Inertial_Data_Acquirement,10010,0,1
7,LINK,4,7,6G_Drone_2,0.0,Image_Acquirement,10010,0,1
8,LINK,5,7,6G_Drone_2,0.0,Inertial_Data_Acquirement,10010,0,1
5,LINK,3,8,6G_Drone_1,823.13984,Image,10010,41156992.0,0
6,LINK,3,8,6G_Drone_1,0.0056,Inertial_Data,10010,280,1
7,LINK,7,8,6G_Drone_2,823.13984,Image,10010,41156992.0,2
8,LINK,7,8,6G_Drone_2,0.0056,Inertial_Data,10010,280,3
5,LINK,8,9,6G_Drone_1,0.041156992,Image,10833.13984,41156992.0,2
7,LINK,8,9,6G_Drone_2,0.041156992,Image,10833.13984,41156992.0,3
6,LINK,8,9,6G_Drone_1,2.8e-07,Inertial_Data,10833.14544,280,2
8,LINK,8,9,6G_Drone_2,2.8e-07,Inertial_Data,10833.14544,280,3
5,LINK,9,8,6G_Drone_1,5.6e-08,Corrected_Pose,10862.767996992,56,0
5,LINK,8,3,6G_Drone_1,0.000112,Corrected_Pose,10862.767997047999,56,0
5,LINK,3,2,6G_Drone_1,0.0,Pose_Prediction,10862.768109047998,0,0
7,LINK,9,8,6G_Drone_2,5.6e-08,Corrected_Pose,10862.809153983999,56,0
7,LINK,8,7,6G_Drone_2,0.000112,Corrected_Pose,10862.809154039998,56,0
7,LINK,7,6,6G_Drone_2,0.0,Pose_Prediction,10862.809266039998,0,0
