id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,0,2,6G_Drone,0.0,Image_Acquirement,10,0,0
2,LINK,1,2,6G_Drone,0.0,Inertial_Data_Acquirement,10,0,1
1,LINK,2,3,6G_Drone,2993.2357818181817,Image,10.0,41156992.0,0
2,LINK,2,3,6G_Drone,0.020363636363636365,Inertial_Data,10.0,280,1
1,LINK,3,4,6G_Drone,0.041156992,Image,3003.2357818181817,41156992.0,1
2,LINK,3,4,6G_Drone,2.8e-07,Inertial_Data,3003.2561454545453,280,1
2,LINK,4,3,6G_Drone,5.6e-08,Corrected_Pose,3003.276939090182,56,0
2,LINK,3,2,6G_Drone,0.00056,Corrected_Pose,3003.276939146182,56,0
2,LINK,2,5,6G_Drone,0.0,Pose_Prediction,3003.277499146182,0,0
1,LINK,4,3,6G_Drone,5.6e-08,Corrected_Pose,3035.818938810182,56,0
1,LINK,3,2,6G_Drone,0.00056,Corrected_Pose,3035.8189388661817,56,0
1,LINK,2,5,6G_Drone,0.0,Pose_Prediction,3035.8194988661817,0,0
