,Uplink Rate,Image Processing Time
0,20.0,601.74
1,30.0,601.74
2,40.0,601.74
3,50.0,601.74
4,60.0,601.74
5,70.0,601.74
6,80.0,601.74
7,90.0,601.74
8,100.0,601.74
9,110.0,601.74
10,120.0,601.74
11,130.0,601.74
12,140.0,601.74
13,150.0,601.74
14,160.0,601.74
15,170.0,601.74
16,180.0,601.74
17,190.0,601.74
18,200.0,601.74
19,210.0,601.74
20,220.0,601.74
21,230.0,601.74
22,240.0,601.74
23,250.0,601.74
24,260.0,601.74
25,270.0,601.74
26,280.0,601.74
27,290.0,601.74
28,300.0,601.74
29,310.0,601.74
30,320.0,601.74
31,330.0,601.74
32,340.0,601.74
33,350.0,601.74
34,360.0,601.74
35,370.0,601.74
36,380.0,601.74
37,390.0,601.74
38,400.0,601.74
39,410.0,601.74
40,420.0,601.74
41,430.0,601.74
42,440.0,601.74
43,450.0,601.74
44,460.0,601.74
45,470.0,601.74
46,480.0,601.74
47,490.0,601.74
48,500.0,601.74
49,510.0,601.74
50,520.0,601.74
51,530.0,601.74
52,540.0,601.74
53,550.0,601.74
54,560.0,601.74
55,570.0,601.74
56,580.0,601.74
57,590.0,601.74
58,600.0,601.74
59,610.0,601.74
60,620.0,601.74
61,630.0,601.74
62,640.0,601.74
63,650.0,601.74
64,660.0,601.74
65,670.0,601.74
66,680.0,601.74
67,690.0,601.74
68,700.0,601.74
69,710.0,601.74
70,720.0,601.74
71,730.0,601.74
72,740.0,601.74
73,750.0,601.74
74,760.0,601.74
75,770.0,601.74
76,780.0,601.74
77,790.0,601.74
78,800.0,601.74
79,810.0,601.74
80,820.0,601.74
81,830.0,601.74
82,840.0,601.74
83,850.0,601.74
84,860.0,601.74
85,870.0,601.74
86,880.0,601.74
87,890.0,601.74
88,900.0,601.74
89,910.0,601.74
90,920.0,601.74
91,930.0,601.74
92,940.0,601.74
93,950.0,601.74
94,960.0,601.74
95,970.0,601.74
96,980.0,601.74
97,990.0,601.74
