id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
2,COMP_M,6G_Drone,IMU_Measurement_Acquisition,Inertial_Data_Acquirement,1,4,1,2,IMU,30.0,101.0000005,131.0000005,100.0,101.0000005
1,COMP_M,6G_Drone,Image_Acquisition,Image_Acquirement,0,3,0,2,Camera,20.0,101.000001,121.000001,100.0,101.000001
1,COMP_M,6G_Drone,Feature_Extraction,Image,3,5,2,2,Image_Acquisition,30.0,121.000001,151.000001,121.000001,121.000001
1,COMP_M,6G_Drone,MSCKF_Update,Extracted Features,5,6,2,3,Feature_Extraction,0.0012,152.0000015,152.0012015,151.000001,152.0000015
1,COMP_M,6G_Drone,Prediction,Corrected_Pose,6,7,3,2,MSCKF_Update,30.0,153.001202,183.001202,152.0012015,153.001202
1,SINK_M,6G_Drone,Pose_Correction,Pose_Prediction,7,2,2,5,Prediction,0,184.0012025,184.0012025,183.001202,184.0012025
4,COMP_M,6G_Drone,IMU_Measurement_Acquisition,Inertial_Data_Acquirement,1,4,1,2,IMU,30.0,401.0000005,431.0000005,400.0,401.0000005
3,COMP_M,6G_Drone,Image_Acquisition,Image_Acquirement,0,3,0,2,Camera,20.0,401.000001,421.000001,400.0,401.000001
3,COMP_M,6G_Drone,Feature_Extraction,Image,3,5,2,2,Image_Acquisition,30.0,421.000001,451.000001,421.000001,421.000001
3,COMP_M,6G_Drone,MSCKF_Update,Extracted Features,5,6,2,3,Feature_Extraction,0.0012,452.0000015,452.0012015,451.000001,452.0000015
3,COMP_M,6G_Drone,Prediction,Corrected_Pose,6,7,3,2,MSCKF_Update,30.0,453.001202,483.001202,452.0012015,453.001202
3,SINK_M,6G_Drone,Pose_Correction,Pose_Prediction,7,2,2,5,Prediction,0,484.0012025,484.0012025,483.001202,484.0012025
6,COMP_M,6G_Drone,IMU_Measurement_Acquisition,Inertial_Data_Acquirement,1,4,1,2,IMU,30.0,701.0000005,731.0000005,700.0,701.0000005
5,COMP_M,6G_Drone,Image_Acquisition,Image_Acquirement,0,3,0,2,Camera,20.0,701.000001,721.000001,700.0,701.000001
5,COMP_M,6G_Drone,Feature_Extraction,Image,3,5,2,2,Image_Acquisition,30.0,721.000001,751.000001,721.000001,721.000001
5,COMP_M,6G_Drone,MSCKF_Update,Extracted Features,5,6,2,3,Feature_Extraction,0.0012,752.0000015,752.0012015000001,751.000001,752.0000015
5,COMP_M,6G_Drone,Prediction,Corrected_Pose,6,7,3,2,MSCKF_Update,30.0,753.0012020000001,783.0012020000001,752.0012015000001,753.0012020000001
5,SINK_M,6G_Drone,Pose_Correction,Pose_Prediction,7,2,2,5,Prediction,0,784.0012025000002,784.0012025000002,783.0012020000001,784.0012025000002
