id,type,src,dst,app,latency,message,ctime,size,buffer
1,LINK,0,2,6G_Drone,1.000001,Image_Acquirement,100,1000,0
2,LINK,1,2,6G_Drone,1.0000005,Inertial_Data_Acquirement,100,500,1
2,LINK,2,3,6G_Drone,1.0000005,Inertial_Data,131.0000005,500,0
1,LINK,2,3,6G_Drone,1.0000005,Extracted Features,151.000001,500,0
1,LINK,3,2,6G_Drone,1.0000005,Corrected_Pose,152.0012015,500,0
1,LINK,2,5,6G_Drone,1.0000005,Pose_Prediction,183.001202,500,0
3,LINK,0,2,6G_Drone,1.000001,Image_Acquirement,400,1000,0
4,LINK,1,2,6G_Drone,1.0000005,Inertial_Data_Acquirement,400,500,1
4,LINK,2,3,6G_Drone,1.0000005,Inertial_Data,431.0000005,500,0
3,LINK,2,3,6G_Drone,1.0000005,Extracted Features,451.000001,500,0
3,LINK,3,2,6G_Drone,1.0000005,Corrected_Pose,452.0012015,500,0
3,LINK,2,5,6G_Drone,1.0000005,Pose_Prediction,483.001202,500,0
5,LINK,0,2,6G_Drone,1.000001,Image_Acquirement,700,1000,0
6,LINK,1,2,6G_Drone,1.0000005,Inertial_Data_Acquirement,700,500,1
6,LINK,2,3,6G_Drone,1.0000005,Inertial_Data,731.0000005,500,0
5,LINK,2,3,6G_Drone,1.0000005,Extracted Features,751.000001,500,0
5,LINK,3,2,6G_Drone,1.0000005,Corrected_Pose,752.0012015000001,500,0
5,LINK,2,5,6G_Drone,1.0000005,Pose_Prediction,783.0012020000001,500,0
